"SpawnBio_om","Recruit_0_om","F_om","SpawnBio_em","Recruit_0_em","F_em","scenario","replicate","A","C","D","L","E","F","I","R","species","year"
4084110000,132223000,0,4394800000,140947000,0,"A30-C10-D0-L30-E0-F0-I0-R0-cos",1,"A30","C10","D0","L30","E0","F0","I0","R0","cos",1
4084110000,132223000,0,4394800000,140558000,0,"A30-C10-D0-L30-E0-F0-I0-R0-cos",1,"A30","C10","D0","L30","E0","F0","I0","R0","cos",2
4084110000,132223000,0,4394390000,140161000,0,"A30-C10-D0-L30-E0-F0-I0-R0-cos",1,"A30","C10","D0","L30","E0","F0","I0","R0","cos",3
4084110000,132223000,0,4392860000,139723000,0,"A30-C10-D0-L30-E0-F0-I0-R0-cos",1,"A30","C10","D0","L30","E0","F0","I0","R0","cos",4
4084110000,132223000,0,4390060000,139228000,0,"A30-C10-D0-L30-E0-F0-I0-R0-cos",1,"A30","C10","D0","L30","E0","F0","I0","R0","cos",5
4084110000,132223000,0,4385920000,138650000,0,"A30-C10-D0-L30-E0-F0-I0-R0-cos",1,"A30","C10","D0","L30","E0","F0","I0","R0","cos",6
4084110000,132223000,0,4380440000,137953000,0,"A30-C10-D0-L30-E0-F0-I0-R0-cos",1,"A30","C10","D0","L30","E0","F0","I0","R0","cos",7
4084110000,132223000,0,4373670000,137086000,0,"A30-C10-D0-L30-E0-F0-I0-R0-cos",1,"A30","C10","D0","L30","E0","F0","I0","R0","cos",8
4084110000,132223000,0,4365600000,135979000,0,"A30-C10-D0-L30-E0-F0-I0-R0-cos",1,"A30","C10","D0","L30","E0","F0","I0","R0","cos",9
4084110000,132223000,0,4356140000,134551000,0,"A30-C10-D0-L30-E0-F0-I0-R0-cos",1,"A30","C10","D0","L30","E0","F0","I0","R0","cos",10
4084110000,132223000,0,4345090000,132705000,0,"A30-C10-D0-L30-E0-F0-I0-R0-cos",1,"A30","C10","D0","L30","E0","F0","I0","R0","cos",11
4084110000,132223000,0,4332100000,123615000,0,"A30-C10-D0-L30-E0-F0-I0-R0-cos",1,"A30","C10","D0","L30","E0","F0","I0","R0","cos",12
4084110000,132223000,0,4316620000,118681000,0,"A30-C10-D0-L30-E0-F0-I0-R0-cos",1,"A30","C10","D0","L30","E0","F0","I0","R0","cos",13
4084110000,132223000,0,4295850000,127595000,0,"A30-C10-D0-L30-E0-F0-I0-R0-cos",1,"A30","C10","D0","L30","E0","F0","I0","R0","cos",14
4084110000,132223000,0,4265190000,151371000,0,"A30-C10-D0-L30-E0-F0-I0-R0-cos",1,"A30","C10","D0","L30","E0","F0","I0","R0","cos",15
4084110000,132223000,0,4227100000,202059000,0,"A30-C10-D0-L30-E0-F0-I0-R0-cos",1,"A30","C10","D0","L30","E0","F0","I0","R0","cos",16
4084110000,132223000,0,4195610000,144609000,0,"A30-C10-D0-L30-E0-F0-I0-R0-cos",1,"A30","C10","D0","L30","E0","F0","I0","R0","cos",17
